finding_id,project_name,framework,rule_id,rule_name,category,severity,risk_score,file_path,line,snippet,recommendation
whatsapp-gateway__EX-JSON-001__100,whatsapp-gateway,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,index.js,10,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
shopify-node-express-app__EX-JSON-001__101,shopify-node-express-app,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,web/index.js,52,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
project-mgmt-graphql__EX-JSON-001__102,project-mgmt-graphql,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,server/index.js,11,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
movie-library__EX-HELMET-001__103,movie-library,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"server.js, src/middleware/authMiddleware.js, src/models/User.js, src/routes/authRoutes.js, src/routes/movieRoutes.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
movie-library__EX-RATE-001__104,movie-library,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,src/routes/authRoutes.js,6,"router.post('/register', register);","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
movie-library__EX-AUTHZ-001__105,movie-library,express,EX-AUTHZ-001,Sensitive route without auth middleware,authorization,High,7.5,src/routes/movieRoutes.js,5,"router.get('/', getAllMovies);","Add authentication middleware to all sensitive routes: router.get('/admin', verifyToken, adminHandler)"
movie-library__EX-JSON-001__106,movie-library,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,server.js,12,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
user-authentication-system__EX-HELMET-001__107,user-authentication-system,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"config/db.js, middleware/authMiddleware.js, routes/userRoutes.js, server.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
user-authentication-system__EX-JSON-001__108,user-authentication-system,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,server.js,14,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
auth-app-server-side__EX-HELMET-001__109,auth-app-server-side,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"config/db.js, index.js, middleware/authMiddleware.js, routes/userRoute.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
auth-app-server-side__EX-RATE-001__110,auth-app-server-side,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,routes/userRoute.js,5,"router.post('/register', register);","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
auth-app-server-side__EX-AUTHZ-001__111,auth-app-server-side,express,EX-AUTHZ-001,Sensitive route without auth middleware,authorization,High,7.5,routes/userRoute.js,8,"router.get('/users', getUsers);","Add authentication middleware to all sensitive routes: router.get('/admin', verifyToken, adminHandler)"
auth-app-server-side__EX-JSON-001__112,auth-app-server-side,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,index.js,11,app.use(express.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
